Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K
2024-02-10 00:00:00,46.70025318766257,12.370473526391768,88312458-fa9c-11ef-b94d-ea6559d31cf8,2.0,Gleitung rotational/translational,,,
2024-02-03 00:00:00,46.72475733759582,11.882005300940516,f1cb0346-bd1d-11ef-84d1-0242ac120012,2.0,Gleitung rotational/translational,,,
2024-11-03 00:00:00,46.566466465786434,11.521634676710686,c307625e-0afa-11f0-84e3-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-04-06 00:00:00,46.75969287038833,11.870043963369994,9b9cd8de-0afa-11f0-abb1-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-01-04 00:00:00,46.94767585473534,11.378002835421038,b5222930-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,,,
2024-01-04 00:00:00,46.9473952832723,11.377935236653201,a7a0417a-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,,,
2024-01-04 00:00:00,46.94709615408428,11.378690394948324,9a30eb98-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-01-04 00:00:00,46.946773040112575,11.379843171799802,868dfa7c-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2025-08-04 00:00:00,46.526862594226564,11.761390970767248,5f878344-7378-11f0-8574-b2374db36148,2.0,Gleitung rotational/translational,,,
2024-11-07 09:00:00,46.759936912800676,11.847925174873554,37a0dbcc-0afb-11f0-9778-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-11-07 23:00:00,46.87445344187565,11.632217912804444,71103b34-dc82-11ef-ad9c-0242ac12000f,5.0,Schnelles Fliessen (Mure),,,
2024-12-07 10:00:00,46.27249442627869,11.257424672285998,773063b4-f2b1-11ef-a786-0242ac120004,5.0,Schnelles Fliessen (Mure),,,
2024-09-10 21:00:00,46.55358509632782,11.758732545912775,f89c5246-81b3-11f0-9d27-b2374db36148,2.0,Gleitung rotational/translational,,,
2025-06-02 00:00:00,46.85197540125251,11.560480684262263,b1a54cec-62f7-11f0-a475-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-08-04 09:30:00,46.47662379967731,11.491657574780866,46b884a8-660d-11f0-a7e7-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-09-04 12:00:00,46.52636050371843,11.517000035723958,432c3a3c-660d-11f0-894b-f6c58cc4d7d9,7.0,Komplexe Rutschung,,,
2025-09-04 10:00:00,46.488196303597036,11.418447830881261,40d2bbd0-660d-11f0-9fbd-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-02-07 08:00:00,46.667431906299925,11.024598813953677,2171af3c-71cd-11f0-9abc-b2374db36148,5.0,Schnelles Fliessen (Mure),,,
2020-01-10 00:00:00,46.65523772300796,11.90360360247025,04e6d318-6897-11f0-bea8-b2374db36148,2.0,Gleitung rotational/translational,257.9628601074219,271.607421875,270.928955078125
2020-07-12 00:00:00,46.42706997495975,11.347703441683286,62ff62ec-f88a-11ec-a2b8-0242ac13000d,5.0,Schnelles Fliessen (Mure),259.1663818359375,274.38134765625,283.940185546875
2020-07-12 00:00:00,46.602179328322414,11.200975361133583,18ad6a22-f88a-11ec-b4f3-0242ac13000d,2.0,Gleitung rotational/translational,259.2039794921875,273.554443359375,283.277099609375
2022-01-07 00:00:00,46.29067917124432,11.209115251713408,cf2d2d2a-b9f8-11ed-aac4-0242ac130003,2.0,Gleitung rotational/translational,248.16905212402344,261.674560546875,265.62646484375
2021-06-07 00:00:00,46.59823943319239,11.547703792171662,bd494554-f88c-11ec-858d-0242ac13000d,2.0,Gleitung rotational/translational,256.8818359375,273.1572265625,283.666748046875
2021-05-08 00:00:00,46.84585337775442,11.977607920007483,c33e0ce4-cafe-11ec-9be2-0242ac13000d,2.0,Gleitung rotational/translational,250.96397399902344,264.848388671875,272.85791015625
